,Date,User Name,User ID,Tweet,User Location,Image URL
19,2022-12-05 19:18:27+00:00,3Giants1Gem,1473339123830181892,"So every time Gisele likes a Brady post about their kids will it be headline news? How will I endure? #DemVoice1 #LeaveThemBe #CanWeFocusOnWorldPeace #StudentDebt #Healthcare
https://t.co/ovf75vukRo","Santa Monica, CA",https://pbs.twimg.com/profile_images/1555411998745042944/FY3zKdqj_normal.jpg
20,2022-12-05 17:25:02+00:00,lexinmundo,1580573657709019144,"#USA: #Biden asks #US #SupremeCourt to pause second ruling against #studentdebt plan.
https://t.co/2GSpsQGL34",,https://pbs.twimg.com/profile_images/1580576387089530881/VdTdhxvx_normal.jpg
21,2022-12-05 15:54:01+00:00,naphtalitbryant,719961731926065153,"4 key facts that lenders will not tell you about your next education loan 

https://t.co/nFpIaCEaxZ

#sparkeduniversity #studentloans #studentdebt https://t.co/biD1Y6HEiX","San Antonio, TX",https://pbs.twimg.com/profile_images/727875162511532032/0rfP_kdy_normal.jpg
22,2022-12-05 15:49:02+00:00,GOBankingRates,21001013,Pick the proper snow formation. https://t.co/Y9m0n2vUFb #StudentDebt #DebtSnowballMethod,USA,https://pbs.twimg.com/profile_images/1259991371760295937/E5b5SN4x_normal.jpg
23,2022-12-05 15:10:11+00:00,Spark_EDUn,1013935635864965120,"Article: 4 key facts that lenders will not tell you about your next education loan 

https://t.co/GMEsn0dVV5

#sparkeduniversity #studentloans #studentdebt","San Antonio, TX",https://pbs.twimg.com/profile_images/1057308742633566211/keEOsfHp_normal.jpg
24,2022-12-05 14:02:36+00:00,FlamingoWarrio1,1021415351958081536,@IlhanMN Like Eliminating #StudentDebt with Executive Order that is AGAINST #Constitution? THAT is suggesting to terminate the #Constitution ....,,https://pbs.twimg.com/profile_images/1085703676717645824/1Do6K9uv_normal.jpg
25,2022-12-05 07:00:29+00:00,HoboSpeaks,1539941231891030017,"Sneaky Ways to Make Money Online, Fast | #ubi #studentdebt #needmoney #makemoney #berniebros #stonks #digitalnomad https://t.co/JwHuKI4xrT",,https://pbs.twimg.com/profile_images/1547027797985464320/NW9ommdl_normal.jpg
26,2022-12-04 22:21:26+00:00,JustinBGreen1,1119691969377329153,"@MarcMixon4 @hotgayscientist @GreenPartyUS I still don't understand your critique of the @GreenPartyUS platform.

The platform is for a populist people oriented agenda: Single-Payer #MedicareForAll; Canceling #StudentDebt; and Ending Wars... as just a few examples.

These are the things that most people in the US want.","Portland, ME",https://pbs.twimg.com/profile_images/1127207861883244544/vKxxvg63_normal.png
27,2022-12-04 22:03:01+00:00,OurProgressive,935943359771713536,"Ok @CUBoulder, so the President of the university makes $750k &amp; now new football coach is $5MM+. The entire system, #studentdebt &amp; “transfer protocol” IS BROKEN!  @NCAA #followthemoney","San Francisco, CA",https://pbs.twimg.com/profile_images/1095499842502066177/O8G_zRCq_normal.jpg
28,2022-12-04 20:46:46+00:00,zaailor,3138080280,".@robcsernyik I see Schools of #HigherLearning as producing an overly educated work force that is “nothing to be proud of” for another reason than posted in https://t.co/NgPsMof4h4, because I see them as implicitly Schools of Heightened Enfeeblement &amp; Entrapment via #studentdebt. https://t.co/r5HjRM4bfn","Victoria, British Columbia",https://pbs.twimg.com/profile_images/1588383857534849024/wvOAyrUP_normal.jpg
29,2022-12-04 20:26:11+00:00,BlueDrum2,729717938907959296,"⁦@TheEconomist⁩ you should know that falling into debt is NOT an easy way to begin one’s life. Had #Bernie won, he would’ve pounded out #MedicaireForAll and canceled #StudentDebt + instituted Boomer min.wage increases, and HELPED UNIONIZE workers.  https://t.co/pdZdEF5HkH",ALSO @Lesleyjass👈🏾🌎,https://pbs.twimg.com/profile_images/1184952037043326978/Lu1so5JW_normal.jpg
30,2022-12-04 19:31:47+00:00,piperscreekway,1420962115544752137,#StudentDebt #CancelStudentDebt #WhiteHouse #DeptOfEducation #DepartmentOfEducation #StudentLoans #StudentLoanScam https://t.co/8Ql8GpqCAx,PNW - Free Leonard Peltier,https://pbs.twimg.com/profile_images/1576483282006708224/2IAaSle9_normal.jpg
31,2022-12-04 19:20:14+00:00,piperscreekway,1420962115544752137,"Figures. But be sure to keep those social security payments and salaries flowing to non-US citizens in 🇺🇦, and with our US tax dollars. 

#DeptOfEducation #WhiteHouse 
#StudentDebt #CancelStudentDebt

https://t.co/whGKsxctVf",PNW - Free Leonard Peltier,https://pbs.twimg.com/profile_images/1576483282006708224/2IAaSle9_normal.jpg
32,2022-12-04 18:26:30+00:00,loanly_hipster,1597787474868154368,Shame on Twitter for this shameful display #studentloanforgiveness #studentdebt @elonmusk #parody https://t.co/13mvRZbAqm,,https://pbs.twimg.com/profile_images/1597788040075759617/pG8shIJ__normal.jpg
33,2022-12-04 18:21:12+00:00,Logical_Gov,1378876613635411970,"@SenWarren Aren't you suppose to fight for working class?  How does canceling #studentdebt of people who entered voluntarily &amp; often times chose low paying majors justified?

If you didn't go to college, paid your debt or chose a trade, I hope this infuriates you!

https://t.co/AoPGq3ii51","Texas, USA",https://pbs.twimg.com/profile_images/1379888079071248386/aC5D4L4J_normal.jpg
34,2022-12-04 16:27:09+00:00,preptgrind,860273821873524736,Did you say Finals? Sounds like im finally done studying . . . #Preptgrind #prept #futurept #prephysicaltherapy #grind #physicaltherapy #physicaltherapist #dptstudent #athlete #ptschoolmatch #prehab #chiro #crossfit #ptcas #gre #studentdebt #lowgpa #moveu #physicaltherapyschoo https://t.co/PTodN2Ozrm,"Tampa, FL, US, 33647",https://pbs.twimg.com/profile_images/860372051260956672/gZUY6W-p_normal.jpg
35,2022-12-04 15:00:21+00:00,Spark_EDUn,1013935635864965120,"9 Million Student-Loan Borrowers Mistakenly Informed of Debt Relief Approval 

https://t.co/xEvLLXUSw0

#sparkeduniversity #studentdebt #studentloans","San Antonio, TX",https://pbs.twimg.com/profile_images/1057308742633566211/keEOsfHp_normal.jpg
36,2022-12-04 14:16:19+00:00,AbrontheGreat1,1533178185071874050,@MoneyVisCoach @vru_advocate #studentloans #collegelife #college #studentdebt,,https://pbs.twimg.com/profile_images/1566078024625291264/weEM2MnF_normal.jpg
