,Date,User Name,User ID,Tweet,User Location,Image URL
18,2022-12-01 17:21:37+00:00,WhatsFuss,1515457034052902913,I’m very heartened to see the reaction to the court knocking down Biden’s blatantly unconstitutional cost buying scheme aka #loanforgiveness Most people saw right through that.#StudentLoans2022,,https://pbs.twimg.com/profile_images/1589440517749833728/EM7x8umV_normal.jpg
19,2022-12-01 16:04:17+00:00,SLSAorg,1130566067930247168,"#studentloan Borrowers: While courts have paused federal #loanforgiveness as they review the legality of the proposal, Servicers continue to work with @usedgov to communicate the latest developments to borrowers. Sign up here for email updates: https://t.co/C0eKJSXWqX",,https://pbs.twimg.com/profile_images/1174059853117046789/lka3vDDZ_normal.jpg
20,2022-12-01 12:59:59+00:00,LifeCrafterOrg,2436367952,"Here are the five things you need to know about the repayment of your student loans in 2021. #studentloans #loandeferment #financialliteracy #studentloandebt #repaymentplan #loanforgiveness #lifecrafter 
https://t.co/ZUHOwOzhpy https://t.co/VNBJcIJuGC","Alabama, USA",https://pbs.twimg.com/profile_images/873026310750089218/Na-tKt-n_normal.jpg
21,2022-11-30 20:20:48+00:00,Mistah_Ros,1594451349688590337,Biden’s #LoanForgiveness Program 🤡 https://t.co/hhfR9Inn5E,United States,https://pbs.twimg.com/profile_images/1599121117557362688/TCGolVOE_normal.jpg
22,2022-11-30 17:16:55+00:00,collegepursuit,1465188048,"#Parents: Stay up-to-date with what’s happening with the Biden Administration’s #Student #LoanForgiveness program:

https://t.co/5yALJwj4Ub","North Wales, PA",https://pbs.twimg.com/profile_images/1496002374053285890/Y0BiJIIO_normal.jpg
23,2022-11-29 16:05:59+00:00,quickc56,72654492,"So it is okay for Auburn to give this guy with frequent lapses in judgement &amp; charge students for by increasing tuition &amp; fees! #loanforgiveness 
https://t.co/RPBoUmQiAm","Peoria, AZ",https://pbs.twimg.com/profile_images/1325140255100399618/wHBIqo-g_normal.jpg
24,2022-11-28 16:00:30+00:00,FinancialDesig1,2165100698,"Payment freezes on all federal student loan payments and have once again been extended, this time into the first half of 2023. See the press release from the US Department of Education at the link: https://t.co/76GJyjtwtc 
#fdiupdate #studentloans #loanforgiveness #medschool","Overland Park, KS",https://pbs.twimg.com/profile_images/1542512471503536131/70FFAa0A_normal.jpg
25,2022-11-27 00:13:35+00:00,Pumpkin_Comics,1527864614301605890,#Schoolloandebt #Alert: still waiting on much needed #Loanforgiveness but the #Republicans are still trying to #Block the #Bill,,https://pbs.twimg.com/profile_images/1527866460269383680/2_glbXTv_normal.png
26,2022-11-26 22:48:32+00:00,yoteacher1234,888233022260092928,"I'm so pissed. I qualified for @POTUS #studentloanforgiveness but I don't know if I'll ever actually get it because of what's been happening in the courts. Why can't they just let us get this forgiveness like they got their #ppploanforgiven
#whitehouse
#loanforgiveness https://t.co/X1uWR9Y5Wu",,https://pbs.twimg.com/profile_images/888238003356786688/gnnAO1YB_normal.jpg
27,2022-11-25 20:11:12+00:00,AndrssTerranova,271609716,"Not the white house press secretary we need, but the one we deserve right now. 🤣 https://t.co/8Xy0KUcY12 #JoeBiden #yougotplayed #LyingDemocrats #LoanForgiveness","Tempe, AZ",https://pbs.twimg.com/profile_images/1558083167776477184/xcnblZbW_normal.jpg
28,2022-11-25 15:15:01+00:00,UICLawyerSkills,3273184242,The Biden Administration asks the Court to revive a student-debt relief plan after a lower court blocked it #LoanForgiveness #Relief https://t.co/RYllCplomA,"Chicago, IL",https://pbs.twimg.com/profile_images/1397582075113390093/QGhBlphS_normal.jpg
29,2022-11-23 19:39:38+00:00,DuchessofRogue,122211547,"I’m now being told that my PSLF paperwork doesn’t count for the years I worked at a public university, what the hell is going on at this new servicer?! They changed my eligible totals and everything is wrong now @POTUS #PSLF #PSLFbroke #loanforgiveness #MOHELA","Portland, OR",https://pbs.twimg.com/profile_images/1311329469085306881/vYr5Py5O_normal.jpg
30,2022-11-23 17:20:15+00:00,joy28wong,1276194404114423809,"#Loanforgiveness Young dems who believed in sleepy pino promise on loan forgiveness have been duped/backfired again. Lying dems are all deceiver.
Congress will not pass this legislature because america is broke, with high debt ceiling of 31T.",,https://pbs.twimg.com/profile_images/1276194709275205633/a4J4nXp8_normal.jpg
31,2022-11-22 23:14:02+00:00,BSP_OR,804933802208284672,"The ironic thing is that thanks to the #GOP fighting this, I’ll save more in interest than I would have if they would have just let the 10k happen. So thanks I guess 😆 #loans #loanforgiveness #loanpause https://t.co/p8dMpVRL51","Portland, OR",https://pbs.twimg.com/profile_images/1389474076217856001/qLa0fgtd_normal.jpg
32,2022-11-22 21:30:43+00:00,FeliciaGodfrey,50688242,Pause student loans permanently. Or set it to 2095 that way we’re all dead by the time it starts again. #studentloan #StudentLoans2022 #loanforgiveness,"Longmont, CO",https://pbs.twimg.com/profile_images/1577478267661000705/_f0ZV3lH_normal.jpg
33,2022-11-22 21:05:01+00:00,NFAatUNR,1242902009184800768,Important news that will benefit many members and friends on #PSLF and #LoanForgiveness https://t.co/ex602eNDHC,"Reno, NV",https://pbs.twimg.com/profile_images/1242902840755900416/An9sJxeE_normal.png
34,2022-11-22 19:51:02+00:00,LeroyHe86988899,1350130120019898371,"Won’t be able to explore until my early 30s. Compared to my mid to late 20s. 

I can’t be the only American facing a similar situation. 

To block loan forgiveness is to stifle growth and entrepreneurship. 

God I hope it goes through
#Biden #loanforgiveness",,https://pbs.twimg.com/profile_images/1350130774767505409/1cQocZVl_normal.jpg
35,2022-11-22 17:35:27+00:00,GROUNDUPWeb,1208194999487209472,"#BUSINESS #SCHOOLS #StatesBLOCKINGLoanForgiveness #Arkansasagainst #SouthCarolinaagainst #Iowaagainst #Kansasagainst #Nebraskaagainst and #Missouriagainst
plus #TexasTrumpAppointedJudgePittmanblocking

Guess what's the link blocking against #loanforgiveness❓ And whose affected❓ https://t.co/PRc8mPwvXO",USA,https://pbs.twimg.com/profile_images/1392767840973901826/-x23jGn7_normal.jpg
36,2022-11-22 11:40:10+00:00,M5needspower,347805815,"democrats are evil but brilliant.  #LoanForgiveness was never happening, but it harvested votes from the naïve https://t.co/ZsPqgNMGBy",Florida,https://pbs.twimg.com/profile_images/1080106321729515520/wZkwHyy8_normal.jpg
37,2022-11-22 01:44:43+00:00,GOBankingRates,21001013,"Biden's student loan forgiveness plan is still hitting snags. https://t.co/dvCxvlqDBO

#StudentLoanForgiveness #DebtRelief #LoanForgiveness",USA,https://pbs.twimg.com/profile_images/1259991371760295937/E5b5SN4x_normal.jpg
38,2022-11-22 01:14:13+00:00,TheBigRedPill1,1519157419770888193,#loanforgiveness https://t.co/zfITTOUN6r,"Wisconsin, USA",https://pbs.twimg.com/profile_images/1597951433411813378/uYKza1AB_normal.jpg
39,2022-11-22 00:23:14+00:00,DebramcintoshTw,783531204867915777,"Great...marry whomever or whatever you want. I have this lamp that I really love.

Now do a bill for the #DiedSuddenly families for compensation, kinda like the #loanforgiveness thingy.
Oh, right, not an election cycle.
Damn. https://t.co/3qYkMemQlv",,https://pbs.twimg.com/profile_images/1477150820936212482/139LViOi_normal.jpg
40,2022-11-21 12:06:00+00:00,WOODRADIO,17029338,.@CBSNews business analyst @jillonmoney joins #WMMN with an update on #loanforgiveness. Listen live: https://t.co/9GShD3yLaA,"Grand Rapids, MI",https://pbs.twimg.com/profile_images/1214560938864472066/-P3zhJaA_normal.jpg
41,2022-11-21 07:31:57+00:00,razzlemydazles,1473506717161996292,"Total amount loaned 168,000, total amount paid 110,000, current balance 208,000. How much should i have to pay to be considered responsible, not a freeloader?
#studentloandebt #studentloans #loanforgiveness #interestrates @usedgov #loans #education",,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
42,2022-11-20 21:55:48+00:00,BreeziDeezi,1542567865311698944,https://t.co/Rjk6DxmGnE #loanforgiveness update,Remote,https://pbs.twimg.com/profile_images/1544079201418051585/Ps_uGstn_normal.jpg
43,2022-11-20 04:06:40+00:00,CaptainClever,19498592,Real Talk: These fucking douchebag conservatives blocking the Loan Forgiveness program are really harshing my mellow. #loanforgiveness,Long Beach,https://pbs.twimg.com/profile_images/1248313714761027584/cxVRhXPq_normal.jpg
44,2022-11-19 15:06:49+00:00,InstaviewPoint,949027710835265537,"#StudentLoans2022 #loanforgiveness
.. we are unable to side with college student loans against mortgages.. . If we were to adhere to that type of executive power, only the “friends” of the President would succeed in financial matters. Socialism.

https://t.co/wT3Vuqv3fS",On the Rooftop,https://pbs.twimg.com/profile_images/1518711959717400579/dtcejr2K_normal.jpg
45,2022-11-19 01:17:38+00:00,GOBankingRates,21001013,"Hold on to your refund money. https://t.co/YDztbA9KOW

#StudentLoans #LoanForgiveness #LoanRefunds",USA,https://pbs.twimg.com/profile_images/1259991371760295937/E5b5SN4x_normal.jpg
46,2022-11-19 00:43:06+00:00,GOBankingRates,21001013,"With federal forgiveness paused, alternatives are available. https://t.co/aOAiBsGxXF

#StudentLoans #LoanForgiveness",USA,https://pbs.twimg.com/profile_images/1259991371760295937/E5b5SN4x_normal.jpg
47,2022-11-18 23:53:49+00:00,thatshowtonight,1409706118574608389,#LoanForgiveness #MonkeyPox #FunnyMemes https://t.co/jeFb0G8CMw,"Nashville, TN",https://pbs.twimg.com/profile_images/1490621583370506240/yeadEteN_normal.jpg
48,2022-11-18 01:03:13+00:00,GOBankingRates,21001013,"The latest update in student loan forgiveness. https://t.co/TJesE1dpR8

#StudentLoans #LoanForgiveness",USA,https://pbs.twimg.com/profile_images/1259991371760295937/E5b5SN4x_normal.jpg
49,2022-11-18 00:38:01+00:00,elonsatoshimusk,1512116800883941385,#SCOTUS needs to support #LoanForgiveness in upcoming 😤 #debate... @POTUS made lofty promises pre-midterms and I hope it wasn't a lie to motivate young voters...,"New York, USA",https://pbs.twimg.com/profile_images/1599983566238146560/zv-CY_4I_normal.jpg
50,2022-11-17 21:55:00+00:00,szarlotka,32344703,"Sign up for my #CollegeInside newsletter for @opencampusmedia for the latest on #higheredinprison. This week we have a 1st-person perspective on being a parent to a college student from behind bars, plus news on #loanforgiveness for incarcerated borrowers. https://t.co/iJA8UjvzmQ","CA/WA, but mainly the Internet",https://pbs.twimg.com/profile_images/1247638859128532997/2v4tZggq_normal.jpg
