,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User Name,User ID,Tweet,Image URL,Location,Cleaned_Tweet,scores,label
13645,15022,60,60,2022-12-02 19:29:19+00:00,YoungFarmers,148217883,"#Studentdebt affects #landaccess for #youngfarmers.

You can read Noelle's full story on our blog: https://t.co/sCMMJPHpJb",https://pbs.twimg.com/profile_images/1115263605220442113/bG_A62w__normal.png,United States,affects read noelles full story blog,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13647,15024,62,62,2022-12-02 19:29:18+00:00,YoungFarmers,148217883,"""With my #studentdebt as is, I will not conceivably be able to own land during my farming career... If student debt relief actually happens, I may someday have a fighting chance at being in the financial position to own my own piece of land to farm on.""",https://pbs.twimg.com/profile_images/1115263605220442113/bG_A62w__normal.png,United States,conceivably able land farming career student debt relief actually happens may someday fighting chance financial position piece land farm,"{'neg': 0.199, 'neu': 0.598, 'pos': 0.203, 'compound': 0.0258}",Neutral
13653,15031,69,69,2022-12-02 18:04:37+00:00,audio_embed,245238118,"https://t.co/QtcvKSSJRM via @SAcurrent 

#StudentDebt #Covid #NationalEmergency #Hitler #ReichstagFire #NaziGermany #MarkPittman #SupremeCourt #ElonMusk #Twitter #BernieMarcus #HomeDepot #JobCreatorsNetwork",https://pbs.twimg.com/profile_images/1230582302/manatee1_normal.jpg,United States,via,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13660,15039,77,77,2022-12-02 14:30:00+00:00,politicaliq,22721436,#SupremeCourt to Hear #JoeBiden's Appeal for #StudentDebtForgiveness...  https://t.co/GaAdcePcVD #studentloanforgiveness #studentdebt,https://pbs.twimg.com/profile_images/1567952788570644484/1wQgOCat_normal.png,United States,hear appeal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13676,15058,96,96,2022-12-01 19:01:28+00:00,NewEraColorado,821110,"ICYMI: With payments paused while the student debt forgiveness program faces lawsuits, here's what's going on with #studentdebt forgiveness via @CNBC: https://t.co/0MWDX9Rnh4",https://pbs.twimg.com/profile_images/1509607666640822272/7Zr7A-lp_normal.jpg,United States,icymi payments paused student debt forgiveness program faces lawsuits heres whats going forgiveness via,"{'neg': 0.224, 'neu': 0.546, 'pos': 0.23, 'compound': 0.0258}",Neutral
13678,15060,98,98,2022-12-01 17:20:00+00:00,news_ntd,1060573081935249409,"🔥WATCH  HERE👇 Court Rules Against Biden's #StudentDebt Plan; #Musk Says #Twitter Interfered in #Elections  

https://t.co/rT2oLEwAV1",https://pbs.twimg.com/profile_images/1250893372107227137/JxC3JaIy_normal.jpg,United States,watch court rules bidens plan says interfered,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13683,15065,103,103,2022-12-01 16:06:56+00:00,CHESLALoans,1412239115970568192,"News YOU Can Use: Student Loan Pause Could Cost $275 Billion
https://t.co/WMWtoIzrhR 
#news #studentloans #studentdebt",https://pbs.twimg.com/profile_images/1412239554631897092/fz0d5zH-_normal.jpg,United States,news use student loan pause could cost billion,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13697,15080,118,118,2022-12-01 01:35:57+00:00,preptgrind,860273821873524736,Teamwork has the letter A in there for a reason . . . . #Preptgrind #prept #futurept #prephysicaltherapy #grind #physicaltherapy #physicaltherapist #dptstudent #athlete #ptschoolmatch #prehab #chiro #crossfit #ptcas #gre #studentdebt #lowgpa #moveu #physicaltherapyschool #occu https://t.co/M6jdEyX4UU,https://pbs.twimg.com/profile_images/860372051260956672/gZUY6W-p_normal.jpg,United States,teamwork letter reason,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13699,15082,120,120,2022-11-30 18:36:00+00:00,egrfinancial,595384744,Student Loan Payment Pause Extended into 2023 https://t.co/SFjxIHwFwl #StudentLoans #StudentDebt #StudentLoanForgiveness #College #EducationPlanning #DebtManagement https://t.co/qkOBTxs7Mh,https://pbs.twimg.com/profile_images/1299393642629492736/GARLs2Sj_normal.jpg,United States,student loan payment pause extended,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13714,15097,135,135,2022-11-29 00:29:00+00:00,whynotat3,1408945070527725568,"$Arrrtttt
#Cashappmonday #studentdebt https://t.co/gcjq1QOpRy",https://pbs.twimg.com/profile_images/1470446934188085250/dI0uR5N6_normal.jpg,United States,arrrtttt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
